"LBX206.Code.or.Value","LBX206.Value.Description","LBX206.Count","LBX206.Cumulative","LBX206.Skip.to.Item"
"0.0007 to 1.0477","Range of Values",1867,1867,NA
".","Missing",418,2285,NA
