"LBXTHG.Code.or.Value","LBXTHG.Value.Description","LBXTHG.Count","LBXTHG.Cumulative","LBXTHG.Skip.to.Item"
"0.07 to 27.4","Range of Values",2800,2800,NA
".","Missing",7129,9929,NA
