"URDCNPLC.Code.or.Value","URDCNPLC.Value.Description","URDCNPLC.Count","URDCNPLC.Cumulative","URDCNPLC.Skip.to.Item"
"0","At or above the detection limit",2658,2658,NA
"1","Below lower detection limit",104,2762,NA
".","Missing",224,2986,NA
