"URXMCP.Code.or.Value","URXMCP.Value.Description","URXMCP.Count","URXMCP.Cumulative","URXMCP.Skip.to.Item"
"1.2792 to 131.856","Range of Values",2541,2541,NA
".","Missing",107,2648,NA
