"PHQ030.Code.or.Value","PHQ030.Value.Description","PHQ030.Count","PHQ030.Cumulative","PHQ030.Skip.to.Item"
"1","Yes",14,14,NA
"2","No",8889,8903,NA
".","Missing",537,9440,NA
