"LBXATC.Code.or.Value","LBXATC.Value.Description","LBXATC.Count","LBXATC.Cumulative","LBXATC.Skip.to.Item"
"39 to 7939","Range of Values",7266,7266,NA
"7","Fill Value of Limit of Detection",2,7268,NA
".","Missing",714,7982,NA
