"CIQGPA.Code.or.Value","CIQGPA.Value.Description","CIQGPA.Count","CIQGPA.Cumulative","CIQGPA.Skip.to.Item"
"1","Yes",8,8,"CIQGPD"
"2","No",35,43,""
"7","Refused",0,43,""
"9","Don't know",0,43,""
".","Missing",885,928,""
