"DXXPT23Y.Code.or.Value","DXXPT23Y.Value.Description","DXXPT23Y.Count","DXXPT23Y.Cumulative","DXXPT23Y.Skip.to.Item"
"183.8 to 426.3","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
