"OPDDGA.Code.or.Value","OPDDGA.Value.Description","OPDDGA.Count","OPDDGA.Cumulative","OPDDGA.Skip.to.Item"
"0","No",2334,2334,NA
"1","Yes",17,2351,NA
".","Missing",583,2934,NA
