"RFXT055.Code.or.Value","RFXT055.Value.Description","RFXT055.Count","RFXT055.Cumulative","RFXT055.Skip.to.Item"
"469 to 478","Range of Values",33702,33702,NA
".","Missing",19,33721,NA
