"BIXS378K.Code.or.Value","BIXS378K.Value.Description","BIXS378K.Count","BIXS378K.Cumulative","BIXS378K.Skip.to.Item"
"56.96 to 826.47","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
