"SMDUPCA.Code.or.Value","SMDUPCA.Value.Description","SMDUPCA.Count","SMDUPCA.Cumulative","SMDUPCA.Skip.to.Item"
"Cig 12-digit Universal Product Code-UPC","Value was recorded",562,562,NA
"* NO MATCH *","No match",106,668,NA
"< blank >","Missing",6056,6724,NA
