"URXATZ.Code.or.Value","URXATZ.Value.Description","URXATZ.Count","URXATZ.Cumulative","URXATZ.Skip.to.Item"
"0.01 to 0.65","Range of Values",1878,1878,NA
".","Missing",247,2125,NA
