"LBXSIR.Code.or.Value","LBXSIR.Value.Description","LBXSIR.Count","LBXSIR.Cumulative","LBXSIR.Skip.to.Item"
"5 to 428","Range of Values",5969,5969,NA
".","Missing",580,6549,NA
