"URXRIM.Code.or.Value","URXRIM.Value.Description","URXRIM.Count","URXRIM.Cumulative","URXRIM.Skip.to.Item"
"0.0424 to 0.0424","Range of Values",2593,2593,NA
".","Missing",163,2756,NA
