"DRXIS060.Code.or.Value","DRXIS060.Value.Description","DRXIS060.Count","DRXIS060.Cumulative","DRXIS060.Skip.to.Item"
"0 to 4.46","Range of Values",127147,127147,NA
".","Missing",693,127840,NA
