"FIALANG.Code.or.Value","FIALANG.Value.Description","FIALANG.Count","FIALANG.Cumulative","FIALANG.Skip.to.Item"
"1","English",9417,9417,NA
"2","Spanish",637,10054,NA
".","Missing",121,10175,NA
