"OSD030ca.Code.or.Value","OSD030ca.Value.Description","OSD030ca.Count","OSD030ca.Cumulative","OSD030ca.Skip.to.Item"
"1 to 79","Range of Values",145,145,NA
"80","80 or older",5,150,NA
"77777","Refused",0,150,NA
"99999","Don't know",1,151,NA
".","Missing",5784,5935,NA
