"DXDSTBMC.Code.or.Value","DXDSTBMC.Value.Description","DXDSTBMC.Count","DXDSTBMC.Cumulative","DXDSTBMC.Skip.to.Item"
"364.96 to 3575.34","Range of Values",4602,4602,NA
".","Missing",1178,5780,NA
