"LBXGLT.Code.or.Value","LBXGLT.Value.Description","LBXGLT.Count","LBXGLT.Cumulative","LBXGLT.Skip.to.Item"
"31 to 490","Range of Values",2319,2319,NA
".","Missing",1033,3352,NA
