"TYXA213.Code.or.Value","TYXA213.Value.Description","TYXA213.Count","TYXA213.Cumulative","TYXA213.Skip.to.Item"
"0.227 to 6.044","Range of Values",442,442,NA
".","Missing",8027,8469,NA
