"DMDCITZN.Code.or.Value","DMDCITZN.Value.Description","DMDCITZN.Count","DMDCITZN.Cumulative","DMDCITZN.Skip.to.Item"
"1","Citizen by birth or naturalization",8310,8310,NA
"2","Not a citizen of the US",913,9223,NA
"7","Refused",20,9243,NA
"9","Don't Know",8,9251,NA
".","Missing",3,9254,NA
