"DRDISODF.Code.or.Value","DRDISODF.Value.Description","DRDISODF.Count","DRDISODF.Cumulative","DRDISODF.Skip.to.Item"
"1","No sodium adjustment done",123345,123345,NA
"2","Sodium value adjusted for salt use in food preparation",4495,127840,NA
".","Missing",0,127840,NA
