"DRD370I.Code.or.Value","DRD370I.Value.Description","DRD370I.Count","DRD370I.Cumulative","DRD370I.Skip.to.Item"
"1","Yes",198,198,""
"2","No",4882,5080,"DRD370J"
".","Missing",4202,9282,""
