"MCQ260CB.Code.or.Value","MCQ260CB.Value.Description","MCQ260CB.Count","MCQ260CB.Cumulative","MCQ260CB.Skip.to.Item"
"2","Father",154,154,"MCQ250D"
".","Missing",9339,9493,""
