"DR2IFOLA.Code.or.Value","DR2IFOLA.Value.Description","DR2IFOLA.Count","DR2IFOLA.Cumulative","DR2IFOLA.Skip.to.Item"
"0 to 3326","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
