"DSQILZ.Code.or.Value","DSQILZ.Value.Description","DSQILZ.Count","DSQILZ.Cumulative","DSQILZ.Skip.to.Item"
"31.68 to 21000","Range of Values",1052,1052,NA
".","Missing",7233,8285,NA
