"LBCBHC.Code.or.Value","LBCBHC.Value.Description","LBCBHC.Count","LBCBHC.Cumulative","LBCBHC.Skip.to.Item"
"0.004 to 2.3147","Range of Values",247,247,NA
".","Missing",0,247,NA
