"DR2IMOIS.Code.or.Value","DR2IMOIS.Value.Description","DR2IMOIS.Count","DR2IMOIS.Cumulative","DR2IMOIS.Skip.to.Item"
"0 to 11517.7","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
