"CIQG08.Code.or.Value","CIQG08.Value.Description","CIQG08.Count","CIQG08.Cumulative","CIQG08.Skip.to.Item"
"0 to 6","Range of Values",35,35,NA
"77","Refused",0,35,NA
"99","Don't know",0,35,NA
".","Missing",815,850,NA
