"RXD320.Code.or.Value","RXD320.Value.Description","RXD320.Count","RXD320.Cumulative","RXD320.Skip.to.Item"
"1 to 50","Range of Values",765,765,NA
"555","More than 1 year unspecified",8,773,NA
"666","Less than one year",409,1182,NA
"777","Refused",1,1183,NA
"999","Don't know",12,1195,NA
".","Missing",3879,5074,NA
