"DR1TM201.Code.or.Value","DR1TM201.Value.Description","DR1TM201.Count","DR1TM201.Cumulative","DR1TM201.Skip.to.Item"
"0 to 5.276","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
