"BPD120.Code.or.Value","BPD120.Value.Description","BPD120.Count","BPD120.Cumulative","BPD120.Skip.to.Item"
"1","Yes",131,131,NA
"2","No",135,266,NA
"7","Refused",0,266,NA
"9","Don't know",1,267,NA
".","Missing",6367,6634,NA
