"MPQ120v.Code.or.Value","MPQ120v.Value.Description","MPQ120v.Count","MPQ120v.Cumulative","MPQ120v.Skip.to.Item"
"31","Lower leg - left",121,121,NA
".","Missing",5290,5411,NA
