"BIXS020K.Code.or.Value","BIXS020K.Value.Description","BIXS020K.Count","BIXS020K.Cumulative","BIXS020K.Skip.to.Item"
"349.78 to 961.63","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
