"DR2TS080.Code.or.Value","DR2TS080.Value.Description","DR2TS080.Count","DR2TS080.Cumulative","DR2TS080.Skip.to.Item"
"0 to 14.244","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
