"URDMCPLC.Code.or.Value","URDMCPLC.Value.Description","URDMCPLC.Count","URDMCPLC.Cumulative","URDMCPLC.Skip.to.Item"
"0","At or above the detection limit",54,54,NA
"1","Below lower detection limit",2494,2548,NA
".","Missing",90,2638,NA
