"LBXIG5.Code.or.Value","LBXIG5.Value.Description","LBXIG5.Count","LBXIG5.Cumulative","LBXIG5.Skip.to.Item"
"0.25 to 1000","Range of Values",7384,7384,NA
".","Missing",2056,9440,NA
