"FSD151.Code.or.Value","FSD151.Value.Description","FSD151.Count","FSD151.Cumulative","FSD151.Skip.to.Item"
"1","Yes",835,835,NA
"2","No",9226,10061,NA
"7","Refused",6,10067,NA
"9","Don't know",5,10072,NA
".","Missing",77,10149,NA
