"BPXDI3.Code.or.Value","BPXDI3.Value.Description","BPXDI3.Count","BPXDI3.Cumulative","BPXDI3.Skip.to.Item"
"0 to 118","Range of Values",7408,7408,NA
".","Missing",2405,9813,NA
