"DRD370D.Code.or.Value","DRD370D.Value.Description","DRD370D.Count","DRD370D.Cumulative","DRD370D.Skip.to.Item"
"1","Yes",872,872,""
"2","No",4699,5571,"DRD370E"
".","Missing",4379,9950,""
