"SSBR9.Code.or.Value","SSBR9.Value.Description","SSBR9.Count","SSBR9.Cumulative","SSBR9.Skip.to.Item"
"0.2 to 3.1","Range of Values",76,76,NA
".","Missing",2,78,NA
