"RXDUSE.Code.or.Value","RXDUSE.Value.Description","RXDUSE.Count","RXDUSE.Cumulative","RXDUSE.Skip.to.Item"
"1","Yes",13705,13705,""
"2","No",5934,19639,"End of Section"
"7","Refused",3,19642,"End of Section"
"9","Don't know",5,19647,"End of Section"
".","Missing",0,19647,""
