"LBXPLP.Code.or.Value","LBXPLP.Value.Description","LBXPLP.Count","LBXPLP.Cumulative","LBXPLP.Skip.to.Item"
"2.1 to 2330","Range of Values",8171,8171,NA
".","Missing",1136,9307,NA
