"AAXRMDES.Code.or.Value","AAXRMDES.Value.Description","AAXRMDES.Count","AAXRMDES.Cumulative","AAXRMDES.Skip.to.Item"
"1","Bedroom with a doorway",6510,6510,NA
"2","Bedroom without a doorway",63,6573,NA
"3","Shared area",383,6956,NA
"9","Don't know",7,6963,NA
".","Missing",2477,9440,NA
