"URDUSBLC.Code.or.Value","URDUSBLC.Value.Description","URDUSBLC.Count","URDUSBLC.Cumulative","URDUSBLC.Skip.to.Item"
"0","At or above the detection limit",1944,1944,NA
"1","Below lower detection limit",584,2528,NA
".","Missing",77,2605,NA
