"DR1TVB6.Code.or.Value","DR1TVB6.Value.Description","DR1TVB6.Count","DR1TVB6.Cumulative","DR1TVB6.Skip.to.Item"
"0 to 44.751","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
