"OSQ072.Code.or.Value","OSQ072.Value.Description","OSQ072.Count","OSQ072.Cumulative","OSQ072.Skip.to.Item"
"1","Yes",176,176,NA
"2","No",141,317,NA
"7","Refused",0,317,NA
"9","Don't know",5,322,NA
".","Missing",3493,3815,NA
