"URDNO3LC.Code.or.Value","URDNO3LC.Value.Description","URDNO3LC.Count","URDNO3LC.Cumulative","URDNO3LC.Skip.to.Item"
"0","At or above the detection limit",2836,2836,NA
"1","Below lower detection limit",8,2844,NA
".","Missing",97,2941,NA
