"KIQ022.Code.or.Value","KIQ022.Value.Description","KIQ022.Count","KIQ022.Cumulative","KIQ022.Skip.to.Item"
"1","Yes",200,200,""
"2","No",5354,5554,"KIQ026"
"7","Refused",1,5555,"KIQ026"
"9","Don't know",4,5559,"KIQ026"
".","Missing",1,5560,""
