"LBX180LA.Code.or.Value","LBX180LA.Value.Description","LBX180LA.Count","LBX180LA.Cumulative","LBX180LA.Skip.to.Item"
"0.06 to 627","Range of Values",1896,1896,NA
".","Missing",389,2285,NA
