"LBXALC.Code.or.Value","LBXALC.Value.Description","LBXALC.Count","LBXALC.Cumulative","LBXALC.Skip.to.Item"
"0.31 to 123.35","Range of Values",7198,7198,NA
"0.21","Fill Value of Limit of Detection",70,7268,NA
".","Missing",714,7982,NA
