"WHD110.Code.or.Value","WHD110.Value.Description","WHD110.Count","WHD110.Cumulative","WHD110.Skip.to.Item"
"80 to 450","Range of Values",4327,4327,NA
"7777","Refused",4,4331,NA
"9999","Don't know",187,4518,NA
".","Missing",2371,6889,NA
