"SSCA153L.Code.or.Value","SSCA153L.Value.Description","SSCA153L.Count","SSCA153L.Cumulative","SSCA153L.Skip.to.Item"
"1930 to 3060810","Range of Values",2388,2388,NA
".","Missing",0,2388,NA
