"PFD069O.Code.or.Value","PFD069O.Value.Description","PFD069O.Count","PFD069O.Cumulative","PFD069O.Skip.to.Item"
"30 to 12775","Range of Values",66,66,NA
"66666","Since birth",0,66,NA
"77777","Refused",0,66,NA
"99999","Don't know",2,68,NA
".","Missing",9577,9645,NA
