"WHD050.Code.or.Value","WHD050.Value.Description","WHD050.Count","WHD050.Cumulative","WHD050.Skip.to.Item"
"78 to 470","Range of Values",6373,6373,NA
"7777","Refused",3,6376,NA
"9999","Don't know",88,6464,NA
".","Missing",82,6546,NA
