"WTSCY4YR.Code.or.Value","WTSCY4YR.Value.Description","WTSCY4YR.Count","WTSCY4YR.Cumulative","WTSCY4YR.Skip.to.Item"
"0 to 418199.9809","Range of Values",2508,2508,NA
".","Missing",0,2508,NA
