"DRQSPREP.Code.or.Value","DRQSPREP.Value.Description","DRQSPREP.Count","DRQSPREP.Cumulative","DRQSPREP.Skip.to.Item"
"1","Never",721,721,NA
"2","Rarely",1621,2342,NA
"3","Occasionally",3021,5363,NA
"4","Very Often",3845,9208,NA
"9","Don't know",130,9338,NA
".","Missing",424,9762,NA
