"VIXKLMM.Code.or.Value","VIXKLMM.Value.Description","VIXKLMM.Count","VIXKLMM.Cumulative","VIXKLMM.Skip.to.Item"
"6.22 to 9.37","Range of Values",6441,6441,NA
"88","Could not obtain",63,6504,NA
".","Missing",413,6917,NA
