"SPXNFEV6.Code.or.Value","SPXNFEV6.Value.Description","SPXNFEV6.Count","SPXNFEV6.Cumulative","SPXNFEV6.Skip.to.Item"
"614 to 7856","Range of Values",6319,6319,NA
".","Missing",1424,7743,NA
