"WTMREP19.Code.or.Value","WTMREP19.Value.Description","WTMREP19.Count","WTMREP19.Cumulative","WTMREP19.Skip.to.Item"
"0 to 265394.01408","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
