"WTSPO15.Code.or.Value","WTSPO15.Value.Description","WTSPO15.Count","WTSPO15.Cumulative","WTSPO15.Skip.to.Item"
"0.0000000 to 863439.6356500","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
