"DS2TCOPP.Code.or.Value","DS2TCOPP.Value.Description","DS2TCOPP.Count","DS2TCOPP.Cumulative","DS2TCOPP.Skip.to.Item"
"0.025 to 30","Range of Values",1144,1144,NA
".","Missing",8669,9813,NA
