"DS1ICAFF.Code.or.Value","DS1ICAFF.Value.Description","DS1ICAFF.Count","DS1ICAFF.Cumulative","DS1ICAFF.Skip.to.Item"
"20 to 1200","Range of Values",14,14,NA
".","Missing",6054,6068,NA
